Date,Price,Open,High,Low,Vol.,
04/08/2022,90.74,94.96,97.84,90.17,44.93K,
04/07/2022,94.87,97.84,97.84,93.14,16.75K,
04/06/2022,93.14,99.76,100.72,93.14,33.53K,
04/05/2022,98.8,97.84,100.72,95.92,20.04K,
04/04/2022,96.4,96.4,106.24,93.05,165.38K,
04/01/2022,95.92,102.64,102.64,95.92,8.88K,
03/31/2022,102.64,108.87,108.87,95.92,17.94K,
03/30/2022,112.13,112.6,113.07,105.06,262.73K,
03/29/2022,112.6,117.78,120.14,111.42,75.85K,
03/28/2022,120.61,123.44,123.44,113.07,1.63M,
03/25/2022,123.91,123.44,124.38,122.96,19.57K,
03/24/2022,123.44,124.38,124.38,122.96,49.98K,
03/23/2022,125.32,126.26,126.26,124.38,3.00K,
03/22/2022,125.32,126.26,126.26,124.38,14.41K,
03/21/2022,125.32,125.32,126.26,123.44,8.23K,
03/18/2022,123.44,121.08,124.85,121.08,1.80K,
03/16/2022,122.49,122.02,122.49,121.08,25.58K,
03/15/2022,122.49,122.49,122.49,121.55,15.14K,
03/14/2022,122.49,125.32,125.32,122.49,28.73K,
03/11/2022,123.44,124.85,125.32,122.49,13.26K,
03/10/2022,124.38,121.32,124.38,118.25,48.02K,
03/09/2022,120.84,122.49,123.44,120.84,86.68K,
03/08/2022,125.08,124.38,125.32,122.49,74.22K,
03/07/2022,124.38,127.2,127.2,122.49,46.47K,
03/04/2022,126.97,127.44,127.44,126.97,13.23K,
03/03/2022,127.44,127.2,130.03,126.73,4.55K,
03/02/2022,127.2,129.8,130.03,125.56,90.21K,
02/28/2022,129.56,130.03,130.03,127.2,35.22K,
02/25/2022,127.2,128.15,129.09,122.73,13.73K,
02/24/2022,125.32,127.2,128.62,122.49,50.10K,
02/23/2022,127.2,130.74,130.74,122.73,70.31K,
02/22/2022,129.32,130.74,130.74,127.91,42.50K,
02/21/2022,130.97,131.92,133.56,130.03,71.17K,
02/18/2022,131.21,129.8,131.92,128.85,16.84K,
02/17/2022,130.74,129.09,130.97,129.09,31.56K,
02/15/2022,126.97,129.09,129.09,126.73,10.17K,
02/14/2022,126.73,126.5,129.09,126.26,11.77K,
02/11/2022,129.09,130.03,130.03,127.2,15.35K,
02/10/2022,127.2,126.03,128.15,125.32,9.53K,
02/09/2022,127.2,126.73,128.15,126.03,7.05K,
02/08/2022,126.5,129.32,130.03,126.03,32.94K,
02/07/2022,129.32,131.21,131.92,129.32,5.46K,
02/03/2022,130.74,127.2,130.97,127.2,8.47K,
02/02/2022,127.68,129.09,129.09,127.2,144.27K,
02/01/2022,129.09,130.97,131.92,129.09,176.53K,
01/31/2022,131.21,130.97,131.92,130.03,24.01K,
01/28/2022,130.97,130.97,132.86,129.09,54.50K,
01/27/2022,131.92,130.97,131.92,130.27,39.61K,
01/26/2022,130.5,131.21,131.92,130.03,10.27K,
01/25/2022,130.97,132.86,133.33,130.97,6.07K,
01/24/2022,133.8,132.86,133.8,130.97,92.45K,
01/21/2022,131.92,133.8,136.63,131.92,97.93K,
01/20/2022,131.92,131.92,131.92,130.97,27.91K,
01/19/2022,130.03,132.86,132.86,130.03,30.43K,
01/18/2022,128.62,131.68,131.92,128.62,109.13K,
01/13/2022,129.09,131.68,131.68,129.09,34.29K,
01/12/2022,131.68,132.86,132.86,130.74,10.80K,
01/11/2022,131.92,134.27,134.27,130.97,32.29K,
01/10/2022,132.86,127.2,136.63,125.32,220.94K,
01/07/2022,125.08,126.97,126.97,124.61,132.54K,
01/06/2022,126.03,124.61,126.73,124.38,180.74K,
01/05/2022,124.61,127.91,128.15,124.61,227.13K,
01/04/2022,128.62,128.15,128.62,126.97,30.26K,
01/03/2022,127.44,127.2,128.15,126.97,172.68K,
12/31/2021,127.2,129.09,129.09,126.73,87.89K,
12/30/2021,128.85,127.68,129.09,126.97,145.13K,
12/29/2021,128.15,128.15,130.03,127.2,24.23K,
12/28/2021,128.62,127.2,130.03,127.2,2.24K,
12/27/2021,127.68,129.09,129.09,126.73,58.81K,
12/24/2021,129.09,129.56,130.5,129.09,1.29K,
12/23/2021,130.03,128.15,130.03,126.97,99.46K,
12/22/2021,128.62,129.09,130.03,128.15,44.11K,
12/21/2021,127.2,129.32,129.56,125.32,99.86K,
12/20/2021,129.56,131.92,131.92,129.09,260.10K,
12/17/2021,132.62,132.39,133.8,131.92,205.82K,
12/16/2021,132.39,135.45,135.45,132.39,66.83K,
12/15/2021,133.09,134.51,135.68,133.09,44.40K,
12/14/2021,134.27,134.51,134.74,132.86,277.96K,
12/13/2021,134.27,134.74,135.68,134.27,1.18M,
12/10/2021,135.68,134.51,135.92,133.8,159.13K,
12/09/2021,135.68,136.63,136.63,132.86,290.64K,
12/08/2021,135.68,138.98,138.98,134.74,164.43K,
12/07/2021,138.51,139.45,139.45,138.51,161.84K,
12/06/2021,140.16,141.34,141.34,138.98,42.11K,
12/03/2021,141.1,141.34,142.75,139.92,90.33K,
12/02/2021,141.57,139.45,142.28,139.45,347.44K,
12/01/2021,139.45,138.04,142.75,138.04,258.15K,
11/30/2021,140.4,143.46,143.46,136.86,441.75K,
11/29/2021,142.28,143.69,143.69,141.57,37.06K,
11/26/2021,144.17,146.05,146.05,143.22,332.01K,
11/25/2021,145.11,145.34,147.46,144.17,53.92K,
11/24/2021,145.34,149.35,149.82,145.11,125.05K,
11/23/2021,149.82,148.88,150.76,148.41,150.38K,
11/22/2021,149.82,146.05,149.82,146.05,100.01K,
11/19/2021,146.05,146.99,146.99,145.11,76.34K,
11/17/2021,146.05,144.17,148.64,142.28,130.04K,
11/16/2021,144.17,147.23,150.29,142.28,123.63K,
11/15/2021,146.99,148.88,150.76,141.34,171.84K,
11/12/2021,153.12,154.29,155.47,152.88,231.82K,
11/11/2021,153.82,158.3,161.13,153.59,150.29K,
11/10/2021,160.18,155.47,160.18,155.47,804.87K,
11/09/2021,155.47,153.12,161.13,152.88,1.58M,
11/08/2021,154.53,150.76,155.94,150.76,217.81K,
11/05/2021,152.88,152.88,153.35,152.17,316.95K,
11/03/2021,153.12,152.65,155,151.7,165.67K,
11/02/2021,152.65,150.76,153.12,149.35,280.50K,
11/01/2021,151,151.47,151.47,146.99,279.50K,
10/29/2021,150.76,148.64,151.47,145.34,401.55K,
10/28/2021,148.88,151.23,151.23,147.46,42.71K,
10/27/2021,151,141.81,152.65,141.81,1.23M,
10/26/2021,142.99,141.34,142.99,141.34,302.13K,
10/25/2021,141.34,141.34,141.81,140.87,100.51K,
10/22/2021,141.81,141.57,142.75,141.34,66.01K,
10/21/2021,142.05,141.34,143.22,141.34,68.52K,
10/18/2021,141.81,141.1,142.28,140.4,164.59K,
10/15/2021,139.92,140.87,141.1,139.92,17.72K,
10/14/2021,141.34,140.87,142.05,140.87,145.04K,
10/13/2021,140.4,140.4,141.34,138.04,746.38K,
10/12/2021,140.4,139.45,141.1,136.63,425.68K,
10/11/2021,140.4,141.34,142.28,139.45,96.13K,
10/08/2021,141.34,143.22,143.22,134.74,349.25K,
10/07/2021,142.75,142.28,145.11,142.28,577.08K,
10/06/2021,141.81,135.45,143.22,135.45,659.93K,
10/05/2021,135.45,132.15,136.16,132.15,72.03K,
10/04/2021,135.21,133.8,135.21,131.92,99.81K,
10/01/2021,133.8,136.39,136.39,132.86,160.22K,
09/30/2021,135.45,131.92,135.45,131.44,358.59K,
09/29/2021,131.92,131.92,131.92,131.44,23.07K,
09/28/2021,131.68,131.68,131.92,130.03,259.43K,
09/27/2021,132.86,132.39,133.09,132.15,12.34K,
09/24/2021,133.09,131.92,133.33,131.92,113.45K,
09/23/2021,131.92,130.97,131.92,130.97,136.16K,
09/22/2021,131.68,130.97,132.15,130.97,79.67K,
09/21/2021,130.97,130.97,130.97,126.26,114.67K,
09/17/2021,131.92,131.68,131.92,130.97,66.01K,
09/16/2021,131.92,130.97,132.39,130.97,144.53K,
09/15/2021,131.21,131.92,131.92,130.5,82.15K,
09/14/2021,131.68,131.68,132.86,130.74,254.38K,
09/13/2021,131.92,133.33,133.33,130.97,235.52K,
09/10/2021,134.74,132.86,135.45,131.92,460.64K,
09/09/2021,134.51,130.03,135.21,130.03,546.44K,
09/08/2021,130.27,128.62,131.92,128.15,1.88M,
09/07/2021,130.97,127.91,131.68,127.91,149.84K,
09/06/2021,128.85,129.8,129.8,127.91,108.02K,
09/03/2021,129.8,128.62,130.97,127.2,56.10K,
09/02/2021,130.03,129.09,130.97,128.15,261.02K,
09/01/2021,127.68,130.03,130.03,127.2,170.64K,
08/31/2021,130.03,128.15,130.03,127.68,342.55K,
